"","ID","YEAR","SITE","FSIZE","HRBF","HRBL","INSE.A","FROGR","PLPHY","HYLA","TADPL","EFFRG","EFTRP"
"1",1,1,"SY",2980,1,0,"Yes",2,0,27,NA,80,NA
"2",2,1,"SY",2950,1,0,"Yes",2,0,13,NA,160,NA
"3",3,1,"SY",1080,1,0,"Yes",1,0,60,NA,80,NA
"4",4,1,"SY",3410,2,3,"Yes",1,0,82,NA,80,NA
"17",17,1,"SY",2930,0,0,"No",2,0,22,NA,80,NA
"18",18,1,"SY",2850,0,0,"No",2,0,32,NA,80,NA
"21",21,1,"TS",2920,2,2,"Yes",1,0,215,NA,80,NA
"22",22,1,"TS",2929,2,2,"Yes",1,0,324,NA,80,NA
"31",31,1,"TS",2920,0,0,"No",1,0,10,NA,80,NA
"32",32,1,"TS",2930,0,0,"No",1,0,18,NA,80,NA
"62",62,2,"NY",NA,NA,NA,NA,2,0,31,NA,160,4
"64",64,2,"NY",NA,NA,NA,NA,2,1,7,NA,160,4
"65",65,2,"NY",NA,NA,NA,NA,2,0,16,NA,160,4
"66",66,2,"NY",NA,NA,NA,NA,1,0,1,NA,160,NA
"67",67,2,"NY",NA,NA,NA,NA,3,0,11,NA,160,4
"71",71,2,"NY",NA,0,0,"No",1,0,2,NA,160,4
"73",73,2,"NY",NA,0,0,"No",2,5,11,NA,160,4
"74",74,2,"NY",NA,0,0,"No",1,0,8,NA,160,4
"75",75,2,"NY",NA,0,0,"No",1,0,3,NA,160,4
"79",79,2,"SY",2980,3,0,"No",2,0,46,NA,80,NA
"80",80,2,"SY",2950,3,0,"No",3,0,43,NA,160,4
"81",81,2,"SY",1080,3,0,"No",2,0,25,NA,80,4
"87",87,2,"SY",2880,3,0,"No",1,0,21,NA,160,NA
"92",92,2,"SY",2880,3,0,"No",1,0,6,NA,160,4
"93",93,2,"SY",2890,3,0,"No",1,0,9,NA,160,NA
"95",95,2,"SY",2930,0,0,"No",3,2,57,NA,80,NA
"96",96,2,"SY",2850,0,0,"No",2,0,18,NA,80,4
"99",99,2,"TS",NA,NA,NA,NA,1,0,60,NA,80,NA
"100",100,2,"TS",NA,NA,NA,NA,1,0,27,NA,80,NA
"101",101,2,"TS",2930,3,2,"Yes",1,0,49,NA,160,4
"102",102,2,"TS",2950,3,2,"Yes",1,0,92,NA,160,4
"111",111,2,"TS",2920,3,0,"No",1,0,84,NA,80,4
"112",112,2,"TS",2930,3,0,"No",1,0,29,NA,80,NA
"118",118,2,"TS",1800,4,0,"Yes",1,0,38,NA,160,4
"119",119,2,"TS",3080,4,0,"Yes",1,0,36,NA,160,NA
"121",121,2,"YS",2420,4,0,NA,2,0,14,NA,160,NA
"122",122,2,"YS",2940,4,0,"Yes",2,0,26,NA,160,4
"124",124,2,"YS",NA,NA,NA,NA,1,0,16,NA,160,4
"128",128,2,"YS",2930,NA,NA,NA,1,0,23,NA,160,4
"129",129,2,"YS",2930,5,1,"No",1,0,4,NA,160,NA
"135",135,2,"YS",3040,0,0,"No",2,0,36,NA,160,4
"137",137,2,"YS",5610,0,0,"No",2,0,27,NA,160,NA
"138",138,2,"YS",2800,0,0,"No",2,0,9,NA,160,NA
"144",144,3,"SY",1080,3,0,"No",2,0,53,NA,80,4
"150",150,3,"SY",2880,3,0,"No",1,0,39,NA,160,4
"151",151,3,"SY",2730,3,0,"No",1,0,63,NA,160,4
"158",158,3,"SY",2930,0,0,"No",2,0,14,NA,80,4
"161",161,3,"SY",2840,0,0,"No",2,0,2,NA,160,NA
"162",162,3,"SY",NA,0,0,"No",2,0,13,NA,160,4
"163",163,3,"SY",NA,0,0,"No",2,0,5,NA,160,4
"167",167,3,"TS",1720,3,2,"Yes",1,0,47,NA,160,NA
"168",168,3,"TS",2930,3,2,"Yes",2,0,47,NA,160,4
"169",169,3,"TS",2950,2,0,"Yes",2,0,22,NA,160,4
"170",170,3,"TS",2950,2,0,"Yes",1,0,26,NA,160,NA
"172",172,3,"TS",2940,3,2,"Yes",1,0,31,NA,160,NA
"175",175,3,"TS",2920,3,0,"No",1,0,171,NA,80,4
"176",176,3,"TS",2930,3,0,"No",1,0,56,NA,80,4
"211",211,1,"KO",3700,0,0,"No",2,0,7,5,80,5
"212",212,1,"KO",3700,0,0,"No",2,1,18,94,80,5
"251",251,1,"NO",3560,0,0,"No",2,21,1,128,80,5
"259",259,2,"KA",700,3,3,"Yes",2,0,24,79,160,10
"260",260,2,"KA",770,3,3,"Yes",2,0,26,21,160,10
"262",262,2,"KA",2300,3,3,"No",0,0,0,40,160,10
"263",263,2,"KA",1540,3,3,"No",1,0,1,39,160,10
"265",265,2,"KO",1970,3,NA,"Yes",1,0,12,103,160,10
"266",266,2,"KO",2000,3,NA,"Yes",2,1,17,95,160,10
"269",269,2,"KO",3500,0,0,"No",3,7,34,121,80,10
"270",270,2,"KO",3500,0,0,"No",3,10,25,89,80,10
"273",273,2,"KY",3000,8,2,"Yes",3,5,33,133,160,10
"275",275,2,"KY",3000,8,2,"Yes",3,3,36,48,160,10
"278",278,2,"KY",4800,0,0,"No",3,4,13,10,160,10
"279",279,2,"KY",4500,0,0,"No",3,1,7,7,160,10
"281",281,2,"NO",2800,NA,NA,"Yes",2,70,13,14,160,10
"282",282,2,"NO",2700,NA,NA,"Yes",2,59,3,6,160,10
"283",283,2,"NO",3300,0,0,"No",2,41,2,57,80,10
"285",285,2,"NO",3560,0,0,"No",3,42,4,23,80,10
"294",294,3,"KO",1970,4,NA,"Yes",2,2,8,90,160,10
"295",295,3,"KO",2000,4,NA,"Yes",2,1,7,112,160,10
"305",305,3,"KO",2000,0,0,"No",4,10,48,52,160,10
"310",310,3,"KY",3000,NA,2,"Yes",2,2,42,66,160,10
"320",320,3,"KY",4800,0,0,"No",2,0,9,0,160,10
"321",321,3,"KY",4500,0,0,"No",2,0,2,1,160,10
"329",329,3,"NO",NA,NA,NA,NA,3,11,4,0,160,10
"330",330,3,"NO",NA,NA,NA,NA,2,18,1,0,160,10
"336",336,3,"NO",3300,0,0,"No",3,9,6,0,80,10
"337",337,3,"NO",3520,0,0,"No",2,10,1,0,160,10
"341",341,1,"CS",1950,3,0,"No",1,0,4,43,80,10
"342",342,1,"CS",920,4,3,"No",1,0,1,3,80,10
"351",351,1,"CS",2000,5,0,"No",1,0,5,1,80,10
"362",362,1,"IO",4300,6,0,"No",2,0,24,19,80,10
"377",377,1,"IO",2900,0,0,"No",2,0,17,0,80,10
"379",379,1,"IO",2200,0,0,"No",2,0,19,13,80,10
"384",384,1,"IS",1900,2,1,"No",1,0,2,0,80,10
"386",386,1,"IS",3840,2,1,"No",1,0,2,0,80,10
"395",395,1,"IS",2934,0,0,"No",2,8,6,4,80,10
"401",401,1,"IS",2470,0,0,"No",2,1,14,2,80,10
"404",404,1,"KK",2800,2,2,"Yes",1,0,1,0,80,10
"407",407,1,"KK",5900,NA,NA,NA,0,0,0,0,80,10
"408",408,1,"KK",3000,2,2,"Yes",1,0,5,0,80,10
"416",416,1,"KK",3100,0,0,"No",2,11,25,0,80,10
"421",421,1,"KK",2800,0,0,"No",2,9,14,0,80,10
"423",423,1,"OT",2260,4,2,"Yes",3,30,17,0,80,10
"432",432,1,"OT",6500,0,0,"No",3,15,15,0,80,10
"433",433,1,"OT",3000,0,0,"No",3,12,18,0,80,10
"442",442,1,"OT",3500,0,0,"No",3,29,21,0,80,10
"455",455,2,"IO",2326,3,0,"Yes",2,1,20,7,160,10
"464",464,2,"IO",2200,0,0,"No",1,0,3,0,80,10
"468",468,2,"IS",1890,2,3,"No",1,0,38,14,80,10
"469",469,2,"IS",5998,2,3,"No",1,0,28,1,160,10
"485",485,2,"IS",2470,0,0,"No",2,7,40,0,80,10
"489",489,2,"KK",1130,4,0,"Yes",0,0,0,0,160,10
"493",493,2,"KK",3800,4,0,"Yes",2,3,10,0,160,10
"508",508,2,"KK",1782,0,0,"No",3,6,44,1,80,10
"510",510,2,"KK",2600,0,0,"No",2,0,30,4,80,10
"511",511,2,"KK",2300,0,0,"No",3,1,29,0,160,10
"519",519,2,"RG",2890,3,6,"No",2,1,3,12,160,10
"531",531,2,"RG",7050,0,0,"No",3,19,2,0,160,10
"534",534,3,"IO",2000,3,2,"Yes",1,0,52,270,80,10
"541",541,3,"IO",800,3,2,"Yes",2,0,80,37,160,10
"549",549,3,"IO",2200,0,0,"No",1,0,18,3,80,10
"552",552,3,"IO",3000,0,0,"No",1,0,12,13,160,10
"553",553,3,"IS",1891,2,3,NA,1,0,99,9,80,10
"555",555,3,"IS",4000,2,3,NA,2,1,64,15,160,10
"561",561,3,"IS",2934,0,0,"No",2,10,38,3,80,10
"567",567,3,"IS",2470,0,0,"No",2,1,38,2,80,10
"572",572,3,"KK",5000,8,0,"Yes",1,0,28,0,160,10
"580",580,3,"KK",NA,NA,NA,NA,1,0,22,0,160,10
"581",581,3,"KK",NA,NA,NA,NA,1,0,39,0,160,10
"586",586,3,"KK",1782,0,0,"No",2,3,28,0,80,10
"589",589,3,"KK",2300,0,0,"No",1,0,28,0,160,10
"591",591,3,"OT",2260,5,1,"Yes",2,60,4,0,80,10
"592",592,3,"OT",4220,5,1,"Yes",2,35,30,0,80,10
"594",594,3,"OT",2930,5,1,"Yes",2,24,31,0,80,10
"599",599,3,"OT",6500,0,0,"No",3,60,27,20,80,10
"600",600,3,"OT",3000,0,0,"No",3,58,30,0,80,10
"604",604,3,"OT",3500,0,0,"No",3,31,20,1,80,10
"606",606,1,"HK",6150,3,0,"No",2,10,37,12,160,6
"607",607,1,"HK",4380,3,0,"No",2,3,6,184,120,6
"608",608,1,"HK",1450,3,0,"No",1,0,15,215,120,6
"609",609,1,"HK",7200,3,0,"No",2,7,20,43,160,6
"610",610,1,"HK",4010,3,0,"No",2,1,2,22,120,6
"611",611,1,"HK",2470,3,0,"No",2,0,9,231,120,6
"612",612,1,"KS",2960,NA,NA,NA,4,2,30,0,160,6
"613",613,1,"KS",2500,NA,NA,NA,2,4,43,1,120,6
"614",614,1,"KS",3390,3,0,"No",2,1,21,17,120,6
"615",615,1,"KS",3560,4,0,"No",2,0,26,0,160,6
"617",617,1,"KS",3560,4,0,"No",2,2,10,0,120,6
"618",618,1,"TK",2900,2,0,NA,2,124,18,3,160,6
"619",619,1,"TK",3100,2,0,NA,3,98,11,1,120,6
"626",626,1,"TK",3020,0,0,"No",2,76,0,0,120,6
"627",627,2,"AT",840,3,NA,"Yes",1,0,0,64,160,8
"639",639,2,"TK",2820,6,2,"Yes",1,4,0,7,160,8
"640",640,2,"TK",2930,3,1,"Yes",2,29,2,7,160,8
"653",653,2,"YA",1970,3,0,"No",1,0,40,NA,160,NA
"655",655,3,"AT",3340,3,0,"Yes",2,0,32,NA,160,NA
"656",656,3,"AT",1830,3,0,"Yes",2,0,5,NA,160,NA
"658",658,3,"AT",3000,3,0,"Yes",2,0,9,NA,160,NA
"660",660,3,"AT",1760,0,0,"No",2,1,0,0,160,8
"661",661,3,"AT",2990,0,0,"No",1,0,0,4,160,8
"662",662,3,"AT",2850,0,0,"No",1,0,0,0,160,8
"666",666,3,"TK",2930,7,0,"Yes",1,0,8,2,160,8
"667",667,3,"TK",2820,7,0,"Yes",2,1,2,14,160,8
"668",668,3,"TK",2930,7,0,"Yes",2,3,4,31,160,8
"670",670,3,"TK",3000,0,0,"No",1,43,0,3,160,8
"671",671,3,"TK",3000,0,0,"No",2,34,1,NA,160,NA
"684",684,3,"YA",2950,3,0,"No",2,1,4,1,160,8
"685",685,3,"YA",2910,3,0,"No",2,1,2,1,160,8
"781",781,2,"GN",1910,0,0,"No",2,14,2,2,160,10
"784",784,2,"GN",2900,0,0,"No",2,16,14,6,160,10
"811",811,2,"NT",1730,3,0,"Yes",3,8,4,0,160,10
"817",817,2,"NT",3000,0,0,"No",2,5,4,11,160,10
"840",840,3,"GN",NA,NA,NA,NA,2,17,8,2,160,10
"843",843,3,"GN",NA,0,0,"No",2,11,19,0,160,10
"844",844,3,"GN",NA,0,0,"No",2,28,8,3,160,10
"848",848,3,"ME",NA,NA,NA,NA,3,3,1,139,160,10
"852",852,3,"ME",NA,NA,NA,NA,2,2,5,44,160,10
"853",853,3,"ME",NA,NA,NA,NA,2,4,7,5,160,10
"854",854,3,"ME",2900,5,0,"Yes",2,1,11,62,160,10
"865",865,3,"ME",3500,0,0,"No",2,7,21,9,160,10
"866",866,3,"ME",2700,0,0,"No",3,8,13,13,160,10
"867",867,3,"ME",1250,0,0,"No",3,12,7,10,160,10
"868",868,3,"ME",NA,0,0,"No",2,10,3,10,160,10
"869",869,3,"NT",1930,4,0,"Yes",3,8,3,0,160,10
"896",896,1,"IT",1460,3,0,"Yes",1,0,0,NA,40,NA
"898",898,1,"IT",1750,3,0,"Yes",1,0,0,NA,40,NA
"900",900,1,"IT",6400,2,0,"No",1,0,0,NA,40,NA
"901",901,1,"IT",6000,2,0,"No",1,0,0,NA,40,NA
"902",902,1,"IT",9000,2,0,"No",1,0,0,NA,40,NA
"906",906,1,"IT",3700,2,0,"No",1,0,0,NA,40,NA
"912",912,1,"MN",1300,2,1,"Yes",2,0,3,NA,40,NA
"913",913,1,"MN",2400,2,1,"Yes",1,0,0,NA,40,NA
"914",914,1,"MN",1450,2,1,"Yes",1,0,0,NA,40,NA
"917",917,1,"MN",2400,2,1,"Yes",1,0,0,NA,40,NA
"935",935,1,"OK",3300,3,1,"Yes",1,0,0,NA,40,NA
"936",936,1,"OK",2600,3,1,"Yes",1,0,0,NA,40,NA
"937",937,1,"OK",3900,3,1,"Yes",1,0,0,NA,40,NA
"960",960,2,"IT",1400,3,0,"Yes",1,0,0,NA,80,NA
"961",961,2,"IT",6000,2,0,"No",1,0,0,NA,80,NA
"962",962,2,"IT",9000,2,0,"No",1,0,0,NA,80,NA
"963",963,2,"IT",2100,2,0,"No",1,0,0,NA,80,NA
"964",964,2,"IT",2400,2,0,"No",1,0,0,0,80,10
"965",965,2,"IT",10000,2,0,"No",1,0,0,0,80,10
"968",968,2,"IT",4900,2,0,"No",1,0,0,NA,80,NA
"969",969,2,"IT",4000,2,0,"No",1,0,0,NA,80,NA
"970",970,2,"IT",5800,2,0,"No",1,0,0,NA,80,NA
"975",975,2,"MN",5000,2,0,"Yes",1,0,0,NA,80,NA
"976",976,2,"MN",4700,2,0,"Yes",1,0,0,NA,80,NA
"977",977,2,"MN",4600,2,0,"Yes",1,0,0,NA,80,NA
"978",978,2,"MN",3900,2,0,"Yes",2,0,4,NA,80,NA
"979",979,2,"MN",3700,2,0,"Yes",1,0,0,NA,80,NA
"980",980,2,"MN",7400,2,0,"Yes",2,0,3,646,80,10
"981",981,2,"MN",4800,2,0,"Yes",1,0,0,NA,80,NA
"982",982,2,"MN",2600,2,0,"Yes",2,0,3,NA,80,NA
"983",983,2,"MN",NA,NA,NA,NA,2,0,1,NA,80,NA
"984",984,2,"MN",1500,2,0,"Yes",1,0,0,NA,80,NA
"985",985,2,"MN",2800,2,0,"Yes",1,0,0,NA,80,NA
"986",986,2,"MN",1900,2,0,"Yes",2,0,8,97,80,10
"987",987,2,"MN",3000,2,0,"Yes",1,0,0,NA,80,NA
"988",988,2,"MN",3500,2,0,"Yes",1,0,0,NA,80,NA
"989",989,2,"MN",3500,2,0,"Yes",2,0,4,208,80,10
"990",990,2,"MN",3800,2,0,"Yes",1,0,0,160,80,10
"991",991,2,"MN",4500,2,0,"Yes",2,0,8,NA,80,NA
"992",992,2,"MN",4800,2,0,"Yes",1,0,0,NA,80,NA
"994",994,2,"OK",4400,3,1,"Yes",1,0,0,NA,80,NA
"995",995,2,"OK",3900,3,1,"Yes",1,0,0,NA,80,NA
"996",996,2,"OK",9400,3,1,"Yes",1,0,0,51,80,10
"997",997,2,"OK",3300,3,1,"Yes",1,0,0,22,80,10
"998",998,2,"OK",2600,3,1,"Yes",1,0,0,NA,80,NA
"999",999,2,"OK",3900,3,1,"Yes",1,0,0,NA,80,NA
"1000",1000,2,"OK",5000,3,1,"Yes",1,0,0,NA,80,NA
"1001",1001,2,"OK",5400,3,1,"Yes",1,0,0,NA,80,NA
"1002",1002,2,"OK",6200,3,1,"Yes",1,0,0,125,80,10
"1003",1003,2,"OK",4400,3,1,"Yes",1,0,0,NA,80,NA
"1004",1004,2,"OK",2839,2,0,"No",1,0,0,14,80,10
"1005",1005,2,"OK",2808,2,0,"No",1,0,0,NA,80,NA
"1006",1006,2,"OK",3542,2,0,"No",1,0,0,NA,80,NA
"1007",1007,2,"OK",5987,2,0,"No",1,0,0,NA,80,NA
"1008",1008,2,"OK",5352,2,0,"No",1,0,0,NA,80,NA
"1011",1011,2,"OK",4861,2,0,"No",1,0,0,NA,80,NA
"1013",1013,2,"OK",2522,2,0,"No",1,0,0,NA,80,NA
"1014",1014,3,"IT",550,4,0,"Yes",2,0,2,815,80,10
"1015",1015,3,"IT",1700,4,0,"Yes",2,0,1,449,80,10
"1022",1022,3,"IT",1400,4,0,"Yes",1,0,0,24,80,10
"1023",1023,3,"IT",1400,4,0,"Yes",1,0,0,224,80,10
"1024",1024,3,"IT",6000,3,0,"No",1,0,0,52,80,10
"1025",1025,3,"IT",9000,3,0,"No",1,0,0,0,80,10
"1026",1026,3,"IT",2100,3,0,"No",1,0,0,75,80,10
"1027",1027,3,"IT",2400,3,0,"No",1,0,0,25,80,10
"1028",1028,3,"IT",10000,3,0,"No",2,0,1,93,80,10
"1036",1036,3,"MN",5200,2,1,"Yes",2,0,4,329,80,10
"1037",1037,3,"MN",4500,2,1,"Yes",2,0,3,215,80,10
"1038",1038,3,"MN",1500,2,1,"Yes",2,0,2,588,80,10
"1039",1039,3,"MN",4000,2,1,"Yes",1,0,0,328,80,10
"1040",1040,3,"MN",3000,2,1,"Yes",2,0,2,224,80,10
"1041",1041,3,"MN",7000,2,1,"Yes",2,0,1,344,80,10
"1042",1042,3,"MN",6800,2,1,"Yes",1,0,0,308,80,10
"1044",1044,3,"MN",1900,2,0,"No",2,0,5,520,80,10
"1045",1045,3,"MN",3000,2,0,"Yes",2,0,1,298,80,10
"1048",1048,3,"MN",3600,2,0,"Yes",2,0,4,413,80,10
"1051",1051,3,"MN",3300,2,0,"No",1,0,0,363,80,10
"1054",1054,3,"OK",4400,1,1,"Yes",2,0,2,366,80,10
"1055",1055,3,"OK",3900,1,1,"Yes",1,0,0,38,80,10
"1056",1056,3,"OK",9400,1,1,"Yes",1,0,0,124,80,10
"1059",1059,3,"OK",3900,1,1,"Yes",1,0,0,19,80,10
"1061",1061,3,"OK",NA,NA,NA,NA,1,0,0,NA,80,NA
"1062",1062,3,"OK",5400,1,1,"Yes",1,0,0,0,80,10
"1063",1063,3,"OK",6200,1,1,"Yes",1,0,0,52,80,10
"1064",1064,3,"OK",4400,1,1,"Yes",1,0,0,202,80,10
"1065",1065,3,"OK",2839,2,0,"No",1,0,0,0,80,10
"1066",1066,3,"OK",2808,2,0,"No",1,0,0,133,80,10
"1067",1067,3,"OK",3542,2,0,"No",1,0,0,24,80,10
"1068",1068,3,"OK",5987,2,0,"No",1,0,0,140,80,10
"1069",1069,3,"OK",5352,2,0,"No",1,0,0,159,80,10
"1070",1070,3,"OK",3918,2,0,"No",1,0,0,73,80,10
"1071",1071,3,"OK",3776,2,0,"No",1,0,0,212,80,10
"1073",1073,3,"OK",4261,2,0,"No",2,0,1,140,80,10
"1074",1074,3,"OK",2522,2,0,"No",1,0,0,25,80,10
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
